Doc_ID,Title,Clean_Content
DETIK_001,"Perkuat Pendidikan Vokasi, Menko PM Usul Pembentukan Badan Vokasi Nasional",menteri koordinator daya masyarakat a muhaimin iskandar dorong bentuk badan vokasi nasional bvn kuat didik vokasi integrasi butuh industri nilai lembaga atas vokasi ketidakselarasan kurikulum rendah serap lulus smk sistem vokasi nasional kembang usul diri badan vokasi nasional bvn muhaimin terang tulis jumat muhaimin temu lapang lembaga didik vokasi sistem maju penuh butuh pasar kerja negeri salah satu lihat unjung sekolah analis kimia bogor smakbo bina menteri industri sistem vokasi integrasi bvn yakin atas smk lembaga vokasi kurikulum selaras mismatch industri latih tumpang tindih kementerianlembaga salur lulus jalan perhati presiden prabowo subianto salah tantang utama efektif sertifikasi ahli bahasa asing standar internasional lulus smk lembaga vokasi muhaimin bvn hadir sistem kelola efektif lulus smk cepat serap pasar kerja negeri pasar kerja negeri potensial didik vokasi konsolidasi cepat sempat masyarakat generasi muda cepat mengupdate kapasitas kelola vokasi indonesia padu efektif serap lulus smk lembaga didik vokasi dunia kerja data badan pusat statistik bps catat juta lulus smk anggur lanjut kuliah hambat utama masuk pasar kerja internasional minim terampil mampu bahasa syarat negeri
DETIK_002,"Ikuti Arahan Prabowo, Pratikno Rapat Lintas Kementerian Bahas Pendidikan Vokasi",menteri koordinator bangun manusia budaya menko pmk pratikno gelar rapat tutup lintas menteri rapat bahas didik latih vokasi rapat gelar lantai gedung kemenko pmk pusat jumat rapat pimpin langsung pratikno hadir jajar menteri wamen pmi christina aryani pratikno rapat lintas menteri gelar menindaklanjuti arah presiden prabowo subianto rapat kabinet november sebut salah arah prabowo revitalisasi didik latih vokasi presiden perintah salah satu perihal revitalisasi didik vokasi latih vokasi perintah presiden revitalisasi didik latih vokasi butuh pasar kerja negeri butuh pasar kerja negeri pratikno rapat lintas menteri pratikno negaranegara alami krisis society sisi indonesia alami bonus demografi kembang rangka isi pasar kerja negeri khusus tingkat sejahtera masyarakat perintah presiden selenggara rapat tingkat menteri pratikno lantas bicara pres nomor terbit kait didik latih vokasi sebut jajar kait pres bentuk tim koordinasi vokasi daerah menindaklanjuti arah presiden ubah nomenklatur kabinet perapihan lembaga tindak tindak rangka tingkat sesuai supply side demmand side supply sidenya didik latih vokasi demmand sidenya pasar kerja tingkat job matching agenda utama kl inisiatif sepakat luat koordinasi bentuk smart integrated dashboard marketplace sambung pratikno sebut bahas kait dinamika pasar kerja rencana baik kurikulum sesuai minta pasar kerja butuh tingkat bahasa kirim negeri sertifikasi lainlain sepakat tingkat kurikulum benah sesuai pasar kerja imbuh wamen pmi christina aryani sebut langsung gerak arah menko pmk pratikno salah tingkat smksmk sekolah vokasi arah meko bantu langsung smksmk sekolah vokasi tingkat kompetensi salur bantu kompetensi butuh kurikulum ideal bahasa data langsung praktik lapang smksmk calon kompetensi supply christina simak video komisi x dpr respons guru luwu utara sorot gaji honorer
DETIK_003,"CT ARSA Perluas Kolaborasi, Komitmen Entaskan Kemiskinan Lewat Pendidikan",ct arsa foundation penandatanganan mou mitra strategis kolaborasi harap dampak luas masyarakat didik penandatanganan nota paham acara kukuh guru muda pijar angkat menara mega syariah rabu acara hadir langsung ketua yayasan ct arsa foundatoin anita ratnasari tanjung airnav indonesia salah mitra sempat capt avirianto suratno direktur utama lppnpi kolaborasi ct arsa foundation komitmen gerak ct arsa foundation tebar baik pelosok tanah air terang rabu kerja tuang penandatanganan mou harap dampak luas masyarakat prasejahtera pelosok tanah air mewujudukan visi misi putus mata rantai miskin didik kualitas sehat optimal bencana tsunami aceh ct arsa foundation hadir rangkul anakanak didik kualitas cikal sma unggul ct arsa foundation deli serdang sukoharjo kiprah ct arsa foundation konsisten gerak bantu didik anakanak prasejahtera daya guruguru pelosok indonesia sabang merauke bingkai program pijar program pijar terjun rawan guru damping sekolah pulau indonesia sumatera jawa sumba flores lembata timor kalimantan guru muda pijar damping siswa guru remoteremote area ct arsa bangun fasilitas didik rumah inspirasi mesjid lokasi prihatin sma unggul ct arsa foundation lulus ribu anak prestasi lolos lanjut didik jenjang sarjana universitas baik indonesia negeri ct arsa foundation peduli isu lingkung edukasi jaga lingkung perilaku hidup bersih sehat alir air pelosok indonesia
DETIK_004,Li Claudia Ajak Warga Bergotong Royong Dukung Pendidikan Layak bagi Anak Batam,wakil wali kota batam li claudia chandra ajak masyarakat bersamasama dukung cipta didik layak rata anakanak kota batam aja li claudia unjung sdn sagulung kota selasa kunjung li claudia sapa siswa giat ajar bincang akrab guru kondisi fasilitas ajar hari siswa sekolah anakanak butuh perhati dukung mari gotong royong didik layak li claudia terang rabu li claudia didik pondasi utama bentuk generasi batam cerdas karakter hadap perintah kota batam komitmen sedia sarana prasarana didik rata pelosok daerah perintah upaya anak batam sempat ajar lingkung nyaman fasilitas pada sempat li claudia ajak dunia usaha komunitas elemen masyarakat peran aktif dukung maju didik batam sebut libat cepat wujud didik inklusif kualitas anak maju didik andal perintah butuh kolaborasi anakanak batam tumbuh ajar lingkung
DETIK_005,Transformasi Pendidikan Indonesia: Jadikan Bahasa Sebagai Alat Berpikir,jembatan
DETIK_006,DPRD Jabar-Shizouka Bahas Kolaborasi Bidang Industri hingga Pendidikan,hubung kerja jawa barat prefektur shizouka jepang pasuk babak kunjung resmi delegasi parlemen shizouka gedung dprd jawa barat rabu bahas peluang kolaborasi luas kembang industri otomotif latih tenaga kerja kerja sektor pariwisata didik diskusi isu strategis muka salah satu rencana kembang industri manufaktur otomotif usaha shizouka honda yamaha suzuki milik basis produksi jawa barat sektor industri bicara butuh jepang tenaga kerja asing peluang kerja indonesia jawa barat sektor transportasi jepang butuh tenaga kerja kemudi salah satu indonesia negara sistem kemudi kanan kendala atur beda jepang indonesia sim buky bicara ada program latih khusus calon tenaga sopir jepang isu kalah tarik usul kerja sektor pariwisata didik shizouka usul kembang geopark ciletuh kabupaten sukabumi destinasi wisata didik mudahmudahan rencana kerjasama ditindaklanjuti jawa barat provinsi shizouka fokus kerjasama tanggulang bencana diplomasi budaya buky nilai mitra antarprovinsi tantang global buka peluang ekonomi masyarakat agenda diskusi kuat kerjasama tantang global dprd jawa barat dukung penuh kerjasama jajak kerjasama manfaat masyarakat jawa barat buky kerja rumah mampu bahasa jepang calon tenaga kerja bahasa harap perhati khusus dinas kait tingkat mampu bahasa jepang sdm jepang harap kerjasama tingkat kerjasama sektor mudahmudahan sektor pariwisata tingkat ketua delegasi parlemen shizouka nakazawa negara luas hubung ekonomi buka peluang kerja tenaga indonesia harap jawa barat shizouka tingkat kerjasamanya bidang ekonomi kembang industri sektor sopir indonesia sistem setir setir kanan sempat tenaga kerja indonesia jawa barat jepang
DETIK_007,KPK Geledah Kantor Dinas Pendidikan Terkait Kasus Gubernur Riau,kpk geledah kait duga peras gratifikasi jerat gubernur riau nonaktif abdul wahid baru kpk geledah dinas didik riau lanjut giat geledah dinas didik jubir kpk budi prasetyo wartawan kamis kpk geledah kantor bpkad riau rumah rabu kpk sita dokumen kait geser anggar provinsi riau sidik aman sita dokumen barang bukti elektronik bbe kait geser anggar provinsi riau kpk apresiasi masyarakat riau dukung usut perkara masyarakat dampak korupsi kpk apresiasi terima kasih masyarakat wilayah riau dukung penuh tega hukum kait duga minta fee abdul wahid naik anggar upt dinas pupr riau fee asal tambah anggar alokasi upt jalan jembatan wilayah ivi dinas pupr pkpp rp miliar rp miliar kpk duga abdul wahid ancam bawah setor duit kenal jatah preman kali setor fee jatah juni agustus november kpk duga uang abdul wahid lawat negeri abdul wahid kpk tetap dan m nursalam tenaga ahli abdul wahid kepala dinas pupr pkpp provinsi riau m arief setiawan sangka simak video kode gubernur riau jatah preman batang
DETIK_008,Waka MPR Tekankan Pemerataan Pendidikan Bagi Perempuan Pedalaman,wakil ketua mpr ri lestari moerdijat rerie tekan layan didik butuh khas perempuan dalam bijak dukung sosial konteks perempuan dalam andil jaga lestari lingkung hidup budaya peran gerak ekonomi keluarga pengaruh putus adat penuh layan didik kualitas kuat peran rerie terang tulis rabu sambut diskusi daring tema bangun ekosistem daya perempuan lanjut bijak didik bas butuh perempuan dalam selenggara forum diskusi denpasar kongres wanita indonesia kowan diskusi moderator tenaga ahli wakil ketua mpr ri arimbi heroepoetri sh llm hadir narasumber kepala didik regional multisektoral unesco santosh khatri
DETIK_009,Jurus Kemendikdasmen Wujudkan PHTC Presiden Prabowo di Sektor Pendidikan,menteri didik dasar tengah kemendikdasmen upaya dukung wujud program hasil baik cepat phtc presiden prabowo subianto sektor didik luncur momen didik nasional phtc revitalisasi satu didik harap warga satu didik indonesia wujud nyata komitmen bukti capai target direktorat jenderal didik anak usia didik dasar didik tengah target sekolah realisasi capai sekolah terima manfaat capai muas catat direktorat jenderal didik vokasi didik khusus didik layan khusus target sekolah direktur jenderal didik anak usia didik dasar didik tengah gogot suharwoto terang tulis rabu phtc revitalisasi satu didik harap didik indonesia milik pondasi kuat segi infrastruktur proses ajar aman nyaman tingkat prestasi serta didik sambung gogot dampak sektor didik wujud phtc revitalisasi satu didik sejati dampak sektor ekonomi masyarakat lokal implementasi phtc revitalisasi satu didik skema swakelola libat partisipasi semesta dekat program cepat bangun buka lapang kerja warga dorong beli bahan bangun lingkung dampak ekonomi masyarakat syukur ikhtiar maju didik dampak sejahtera masyarakat revitalisasi sekolah dar bangun wujud sekolah aman nyaman gembira dukung kemendikdasmen wujud phtc revitalisasi satu didik respon survey hasil survey indo strategi kemendikdasmen peringkat menteri baik raih poin temu arus survey indonesia asi temu masyarakat nilai kait phtc revitalisasi sekolah kemendikdasmen detail masyarakat nilai program dampak lingkung ajar hasil riset pm universitas indonesia tingkat persepsi publik program unggul kemendikdasmen positif nilai implementasi program kisar jalan masyarakat nilai phtc revitalisasi sekolah dampak ruang ajar aman nyaman masyarakat nilai phtc revitalisasi sekolah dampak tingkat kualitas didik masyarakat nilai phtc revitalisasi sekolah dampak akses didik luas persepsi publik potret media sosial program rehabilitasi sekolah cenderung positif hasil analisis drone emprit riset media sosial sentimen emosi framing media sosial tinggi perhati publik program rehabilitasi sekolah oleh respon positif capai dorong capai lampau target terap skema swakelola tingkat akuntabilitas kontribusi buka lapang kerja tutup lihat video tahun prabowogibran sektor didik gebrakancatatan
DETIK_010,"Istri Wapres Sorot APK Pendidikan Usia 5-6 Masih Kurang, Kemendikdasmen Jawab Ini",istri wakil presiden gibran rakabuming raka selvi ananda kan data badan pusat statistik bps angka partisipasi kasar apk kelompok usia capai persen turut empat anak ri mengeyam didik data salah indikator strategis partisipasi didik indonesia empat anakanak usia jangkau acara apresiasi bunda paud nasional hotel sultan senayan pusat kamis selvi mungkir salah tantang jalan paud hadir faktor aksesibilitas apresiasi juang didik diri paud swasta swakelola masyarakat daerahdaerah bantu perintah akses didik anakanak usia selvi sebut bantu operasional selenggara bop paud capai rp triliun anggar optimis paud luas akses daerah tinggal depan luar t kait kondisi apk kelompok usia direktur paud menteri didik dasar tengah kemendikdasmen nia nurhasanah tanggap turut menteri milik strategi tingkat aksesibilitas salah upaya hadir bantu program indonesia pintar pip anak paud pip khusus murid paudtk keluarga target ribu murid alokasi anggar siap rp miliar paud gabung salah sasar terima bantu program revitalisasi satu didik buka kelas sekolah harap akses paud jangkau revitalisasi satu didik harap kelas bantu sekolah akses daerahdaerah paudnya nia sambut guru nasional november kemendikdasmen gelar apresiasi bunda paud selvi gibran sebut langsung paud lepas kontribusi dedikasi nyata bunda paud salah faktor awal lanjut tingkat kualitas paud wilayah indonesia depan bina solidaritas perempuan indonesia seruni kabinet merah putih harap dedikasi bunda paud sentuh warna beda masyarakat menggbungkan sifat ibu selvi milik bunda paud menteri cipta bijak program sesuai daerah giat puncak apresiasi bunda paud nasional kemendikdasmen harga bunda paud orang daftar terima apresiasi bagi bunda paud desakelurahan bunda paud camat bunda paud kabupatenkota bunda paud provinsi
